Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
18134;Ney - Porte de Clignancourt;OUI;25;12;13;9;4;OUI;OUI;2020-12-07T13:24:06+01:00;48.8978867,2.3458001;Paris;
13030;Italie - Tolbiac;OUI;21;20;1;0;1;OUI;OUI;2020-12-07T13:26:19+01:00;48.8255722946,2.35761713237;Paris;
8053;Place Georges Guillaumin;OUI;29;5;24;10;14;OUI;OUI;2020-12-07T13:26:48+01:00;48.874750204,2.30177143533;Paris;
2017;Caire - Dussoubs;OUI;40;13;27;23;4;OUI;OUI;2020-12-07T13:24:34+01:00;48.8678534211,2.3493643105;Paris;
17032;Jean Oestreicher - Porte de Champerret;OUI;21;20;1;1;0;OUI;OUI;2020-12-07T13:17:45+01:00;48.8865558007,2.28864043951;Paris;
8103;Artois - Berri;OUI;23;1;20;15;5;OUI;OUI;2020-12-07T13:24:30+01:00;48.8739352124,2.30642583221;Paris;
10115;Granges aux Belles;OUI;27;23;4;2;2;OUI;OUI;2020-12-07T13:24:27+01:00;48.8761373391,2.36808449794;Paris;
8048;Marceau - Chaillot;OUI;21;0;21;10;11;OUI;OUI;2020-12-07T13:26:17+01:00;48.8688339499,2.29899678379;Paris;
9035;Gare Saint-Lazare - Place de Budapest;OUI;44;35;9;5;4;OUI;OUI;2020-12-07T13:26:32+01:00;48.877753,2.327339;Paris;
14013;Liard - Amiral Mouchez;OUI;14;13;1;0;1;OUI;OUI;2020-12-07T13:22:22+01:00;48.8214169,2.342167;Paris;
10029;Dunkerque - Rocroy;OUI;24;24;0;0;0;OUI;OUI;2020-12-07T13:23:27+01:00;48.880726,2.351464;Paris;
7011;Las Cases - Bourgogne;OUI;22;0;22;17;5;OUI;OUI;2020-12-07T13:24:48+01:00;48.8590911047,2.3185685277;Paris;
9002;Abbeville - Faubourg Poissonnière;OUI;14;2;12;4;8;OUI;OUI;2020-12-07T13:17:19+01:00;48.879223,2.349147;Paris;
18111;Félix Ziem - Armand Gauthier;OUI;25;23;2;0;2;OUI;OUI;2020-12-07T13:24:10+01:00;48.8894963049,2.3333936588;Paris;
